typeID,groupID,typeName,mass,volume,capacity,portionSize,marketGroupID,,,,,
0,0,#System,1,0.00E+00,0.00E+00,1,None,,,,,
2,2,Corporation,0.00E+00,0.00E+00,0.00E+00,1,None,,,,,
3,3,Region,0.00E+00,1,0.00E+00,1,None,,,,,
4,4,Constellation,0.00E+00,1,0.00E+00,1,None,,,,,
5,5,Solar System,0.00E+00,1,0.00E+00,1,None,,,,,
6,6,Sun G5 (Yellow),1E+35,1,0.00E+00,1,None,,,,,
7,6,Sun K7 (Orange),1E+35,1,0.00E+00,1,None,,,,,
8,6,Sun K5 (Red Giant),1E+35,1,0.00E+00,1,None,,,,,
9,6,Sun B0 (Blue),1E+35,1,0.00E+00,1,None,,,,,
10,6,Sun F0 (White),1E+35,1,0.00E+00,1,None,,,,,
11,7,Planet (Temperate),1E+35,1,0.00E+00,1,None,,,,,
12,7,Planet (Ice),1E+35,1,0.00E+00,1,None,,,,,
13,7,Planet (Gas),1E+35,1,0.00E+00,1,None,,,,,
14,8,Moon,1E+35,1,0.00E+00,1,None,,,,,
15,9,Asteroid Belt,1E+35,1,0.00E+00,1,None,,,,,
16,10,Stargate (Caldari System),1E+11,10000000,0.00E+00,1,None,,,,,
17,10,Stargate (Amarr Constellation),1E+11,100000000,0.00E+00,1,None,,,,,
18,458,Plagioclase,1E+35,0.35,0.00E+00,100,516,,,,,
19,461,Spodumain,1E+35,16,0.00E+00,100,517,,,,,
20,457,Kernite,1E+35,1.2,0.00E+00,100,523,,,,,
21,454,Hedbergite,1E+35,3,0.00E+00,100,527,,,,,
22,450,Arkonor,1E+35,16,0.00E+00,100,512,,,,,
23,12,Cargo Container,10000,27500,27500,1,None,,,,,
24,13,Ring,1E+35,1,0.00E+00,1,None,,,,,
25,14,Corpse,80,2,0.00E+00,1,None,,,,,
26,16,Office Folder,0.00E+00,1,0.00E+00,1,None,,,,,
27,16,Office,0.00E+00,1,0.00E+00,1,None,,,,,
28,16,Factory Folder,0.00E+00,1,0.00E+00,1,None,,,,,
29,17,Credits,0.00E+00,0.00E+00,0.00E+00,57344,None,,,,,
30,19,Faction,0.00E+00,0.00E+00,0.00E+00,1,None,,,,,
34,18,Tritanium,0.00E+00,0.01,0.00E+00,1,1857,,,,,
35,18,Pyerite,0.00E+00,0.01,0.00E+00,1,1857,,,,,
36,18,Mexallon,0.00E+00,0.01,0.00E+00,1,1857,,,,,
37,18,Isogen,0.00E+00,0.01,0.00E+00,1,1857,,,,,
38,18,Nocxium,0.00E+00,0.01,0.00E+00,1,1857,,,,,
39,18,Zydrine,0.00E+00,0.01,0.00E+00,1,1857,,,,,
40,18,Megacyte,0.00E+00,0.01,0.00E+00,1,1857,,,,,
41,280,Garbage,2500,0.25,0.00E+00,1,20,,,,,
42,280,Spiced Wine,500,0.5,0.00E+00,1,492,,,,,
43,280,Antibiotics,5,0.2,0.00E+00,1,492,,,,,
44,1034,Enriched Uranium,0.00E+00,1.5,0.00E+00,1,1335,,,,,
45,281,Frozen Plant Seeds,400,0.5,0.00E+00,1,492,,,,,
49,24,Player Kill,0.00E+00,0.00E+00,0.00E+00,1,None,,,,,
50,24,Company Shares,0.00E+00,0.00E+00,0.00E+00,1,None,,,,,
51,24,Bookmark,0.00E+00,0.00E+00,0.00E+00,1,None,,,,,
52,94,Trading,0.00E+00,0.00E+00,0.00E+00,1,None,,,,,
53,95,Trade Session,0.00E+00,0.00E+00,0.00E+00,1,None,,,,,
54,15,Caldari Logistics Station,0.00E+00,1,0.00E+00,1,None,,,,,
56,15,Gallente Military Station,0.00E+00,1,0.00E+00,1,None,,,,,
57,15,Gallente Station Hub ,0.00E+00,1,0.00E+00,1,None,,,,,
58,15,C-O-1,0.00E+00,1,0.00E+00,1,None,,,,,
59,15,C-O-2,0.00E+00,1,0.00E+00,1,None,,,,,
60,1319,Asset Safety Wrap,1,1,1,1,None,,,,,
164,23,Clone Grade Alpha,0.00E+00,1,0.00E+00,1,None,,,,,
165,23,Clone Grade Beta,0.00E+00,1,0.00E+00,1,None,,,,,
166,23,Clone Grade Gamma,0.00E+00,1,0.00E+00,1,None,,,,,
178,83,Carbonized Lead S,0.01,0.0025,0.00E+00,100,113,,,,,
179,83,Nuclear S,0.01,0.0025,0.00E+00,100,113,,,,,
180,83,Proton S,0.01,0.0025,0.00E+00,100,113,,,,,
181,83,Depleted Uranium S,0.01,0.0025,0.00E+00,100,113,,,,,
182,83,Titanium Sabot S,0.01,0.0025,0.00E+00,100,113,,,,,
183,83,Fusion S,0.01,0.0025,0.00E+00,100,113,,,,,
184,83,Phased Plasma S,0.01,0.0025,0.00E+00,100,113,,,,,
185,83,EMP S,0.01,0.0025,0.00E+00,100,113,,,,,
186,83,Carbonized Lead M,0.05,0.0125,0.00E+00,100,112,,,,,
187,83,Nuclear M,0.05,0.0125,0.00E+00,100,112,,,,,
188,83,Proton M,1,0.0125,0.00E+00,100,112,,,,,
189,83,Depleted Uranium M,1,0.0125,0.00E+00,100,112,,,,,
190,83,Titanium Sabot M,1,0.0125,0.00E+00,100,112,,,,,
191,83,Fusion M,1,0.0125,0.00E+00,100,112,,,,,
192,83,Phased Plasma M,1,0.0125,0.00E+00,100,112,,,,,
193,83,EMP M,1,0.0125,0.00E+00,100,112,,,,,
194,83,Carbonized Lead L,1,0.025,0.00E+00,100,109,,,,,
195,83,Nuclear L,1,0.025,0.00E+00,100,109,,,,,
196,83,Proton L,1,0.025,0.00E+00,100,109,,,,,
197,83,Depleted Uranium L,1,0.025,0.00E+00,100,109,,,,,
198,83,Titanium Sabot L,1,0.025,0.00E+00,100,109,,,,,
199,83,Fusion L,1,0.025,0.00E+00,100,109,,,,,
200,83,Phased Plasma L,1,0.025,0.00E+00,100,109,,,,,
201,83,EMP L,1,0.025,0.00E+00,100,109,,,,,
202,386,Mjolnir Cruise Missile,1250,0.05,0.00E+00,100,921,,,,,
203,386,Scourge Cruise Missile,1250,0.05,0.00E+00,100,921,,,,,
204,386,Inferno Cruise Missile,1250,0.05,0.00E+00,100,921,,,,,
205,386,Nova Cruise Missile,1250,0.05,0.00E+00,100,921,,,,,
206,385,Nova Heavy Missile,1000,0.03,0.00E+00,100,924,,,,,
207,385,Mjolnir Heavy Missile,1000,0.03,0.00E+00,100,924,,,,,
208,385,Inferno Heavy Missile,1000,0.03,0.00E+00,100,924,,,,,
209,385,Scourge Heavy Missile,1000,0.03,0.00E+00,100,924,,,,,
210,384,Scourge Light Missile,700,0.015,0.00E+00,100,920,,,,,
211,384,Inferno Light Missile,700,0.015,0.00E+00,100,920,,,,,
212,384,Mjolnir Light Missile,700,0.015,0.00E+00,100,920,,,,,
213,384,Nova Light Missile,700,0.015,0.00E+00,100,920,,,,,
215,85,Iron Charge S,0.01,0.0025,0.00E+00,100,107,,,,,
216,85,Tungsten Charge S,0.01,0.0025,0.00E+00,100,107,,,,,
217,85,Iridium Charge S,0.01,0.0025,0.00E+00,100,107,,,,,
218,85,Lead Charge S,0.01,0.0025,0.00E+00,100,107,,,,,
219,85,Thorium Charge S,0.01,0.0025,0.00E+00,100,107,,,,,
220,85,Uranium Charge S,0.01,0.0025,0.00E+00,100,107,,,,,
221,85,Plutonium Charge S,0.01,0.0025,0.00E+00,100,107,,,,,
222,85,Antimatter Charge S,0.01,0.0025,0.00E+00,100,107,,,,,
223,85,Iron Charge M,0.05,0.0125,0.00E+00,100,108,,,,,
224,85,Tungsten Charge M,0.05,0.0125,0.00E+00,100,108,,,,,
225,85,Iridium Charge M,0.05,0.0125,0.00E+00,100,108,,,,,
226,85,Lead Charge M,0.05,0.0125,0.00E+00,100,108,,,,,
227,85,Thorium Charge M,0.05,0.0125,0.00E+00,100,108,,,,,
228,85,Uranium Charge M,0.05,0.0125,0.00E+00,100,108,,,,,
229,85,Plutonium Charge M,0.05,0.0125,0.00E+00,100,108,,,,,
230,85,Antimatter Charge M,0.05,0.0125,0.00E+00,100,108,,,,,
231,85,Iron Charge L,0.1,0.025,0.00E+00,100,106,,,,,
232,85,Tungsten Charge L,0.1,0.025,0.00E+00,100,106,,,,,
233,85,Iridium Charge L,0.1,0.025,0.00E+00,100,106,,,,,
234,85,Lead Charge L,0.1,0.025,0.00E+00,100,106,,,,,
235,85,Thorium Charge L,0.1,0.025,0.00E+00,100,106,,,,,
236,85,Uranium Charge L,0.1,0.025,0.00E+00,100,106,,,,,
237,85,Plutonium Charge L,0.1,0.025,0.00E+00,100,106,,,,,
238,85,Antimatter Charge L,0.1,0.025,0.00E+00,100,106,,,,,
239,86,Radio S,1,1,0.00E+00,1,102,,,,,
240,86,Microwave S,1,1,0.00E+00,1,102,,,,,
241,86,Infrared S,1,1,0.00E+00,1,102,,,,,
242,86,Standard S,1,1,0.00E+00,1,102,,,,,
243,86,Ultraviolet S,1,1,0.00E+00,1,102,,,,,
244,86,Xray S,1,1,0.00E+00,1,102,,,,,
245,86,Gamma S,1,1,0.00E+00,1,102,,,,,
